"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"CAZyme","N0.HOG0001443",2,2,208
"CAZyme","N0.HOG0001445",2,0,327
"CAZyme","N0.HOG0001449",2,0,327
"CAZyme","N0.HOG0001450",2,0,327
"CAZyme","N0.HOG0001451",2,4,9
"CAZyme","N0.HOG0001453",1,1,371
"CAZyme","N0.HOG0001454",2,0,327
"CAZyme","N0.HOG0001464",4,0,49
"CAZyme","N0.HOG0001467",2,0,327
"CAZyme","N0.HOG0001469",0,2.5,10
"CAZyme","N0.HOG0001478",3,4,13
"CAZyme","N0.HOG0001483",1,2,89
"CAZyme","N0.HOG0001486",2,0,327
"CAZyme","N0.HOG0001491",3,3,32
"CAZyme","N0.HOG0001499",2,2,208
"CAZyme","N0.HOG0001500",2,0,327
"CAZyme","N0.HOG0001502",1,1,371
"CAZyme","N0.HOG0001503",2,2,208
"CAZyme","N0.HOG0001504",4,0,49
"CAZyme","N0.HOG0001506",2,2,208
"CAZyme","N0.HOG0001512",2,2,208
"CAZyme","N0.HOG0001514",0,4,43
"CAZyme","N0.HOG0001516",5,6,2
"CAZyme","N0.HOG0001518",2,3,25
"CAZyme","N0.HOG0001520",4,2.5,3
"CAZyme","N0.HOG0001521",2,1,87
"CAZyme","N0.HOG0001526",5,4,8
"CAZyme","N0.HOG0001535",0,2,269
"CAZyme","N0.HOG0001536",2,3.5,2
"CAZyme","N0.HOG0001538",3,3.5,3
"CAZyme","N0.HOG0001550",2,2,208
"CAZyme","N0.HOG0001551",1,1,371
"CAZyme","N0.HOG0001552",3,2.5,5
"CAZyme","N0.HOG0001556",2,1.5,19
"CAZyme","N0.HOG0001557",0,5.5,5
"CAZyme","N0.HOG0001561",3,0,50
"CAZyme","N0.HOG0001564",3,2.5,5
"CAZyme","N0.HOG0001565",1,1,371
"CAZyme","N0.HOG0001575",0,22,2
"CAZyme","N0.HOG0001578",1.5,2,20
"CAZyme","N0.HOG0001579",2,0,327
"CAZyme","N0.HOG0001584",0,3,53
"CAZyme","N0.HOG0001585",7.5,0,2
"CAZyme","N0.HOG0001586",2,1,87
"CAZyme","N0.HOG0001593",0,4,43
"CAZyme","N0.HOG0001596",3,4,13
"CAZyme","N0.HOG0001606",2,0,327
"CAZyme","N0.HOG0001615",2,2,208
"CAZyme","N0.HOG0001623",0,4,43
"CAZyme","N0.HOG0001635",4,0,49
"CAZyme","N0.HOG0001638",1,2,89
"CAZyme","N0.HOG0001640",2,1,87
"CAZyme","N0.HOG0001643",0,5,22
"CAZyme","N0.HOG0001646",2,0,327
"CAZyme","N0.HOG0001654",0,3,53
"CAZyme","N0.HOG0001655",2,2,208
"CAZyme","N0.HOG0001656",2,2,208
"CAZyme","N0.HOG0001658",0,4,43
"CAZyme","N0.HOG0001660",3,2.5,5
